,user_id,cart_time,checkout_time
0,2be90e7c-9cca-44e0-bcc5-124b945ff168,2017-11-07 20:45:00,2017-11-07 21:14:00
1,2be90e7c-9cca-44e0-bcc5-124b945ff168,2017-11-07 20:45:00,2017-11-07 20:50:00
2,2be90e7c-9cca-44e0-bcc5-124b945ff168,2017-11-07 20:45:00,2017-11-07 21:11:00
3,4397f73f-1da3-4ab3-91af-762792e25973,2017-05-27 01:35:00,
4,a9db3d4b-0a0a-4398-a55a-ebb2c7adf663,2017-03-04 10:38:00,2017-03-04 11:04:00
5,b594862a-36c5-47d5-b818-6e9512b939b3,2017-09-27 08:22:00,2017-09-27 08:26:00
6,a68a16e2-94f0-4ce8-8ce3-784af0bbb974,2017-07-26 15:48:00,
7,0c998868-9961-490b-8ec2-9981ba667027,2017-11-27 08:54:00,2017-11-27 09:18:00
8,f783c680-1d9a-437d-9f45-7827299b78fa,2017-06-25 08:08:00,2017-06-25 08:28:00
9,f783c680-1d9a-437d-9f45-7827299b78fa,2017-06-25 08:08:00,2017-06-25 08:27:00
10,f783c680-1d9a-437d-9f45-7827299b78fa,2017-06-25 08:08:00,2017-06-25 08:18:00
11,f3dd7631-3cf6-4d49-9c6e-b48eda4432b5,2017-01-04 09:57:00,2017-01-04 10:20:00
12,4cdd357a-199e-4d81-ae9e-7252fa34ee0f,2017-05-23 22:25:00,2017-05-23 22:54:00
13,3c3460b3-a56d-4d92-908d-29dcca34db18,2017-01-06 14:56:00,2017-01-06 15:06:00
14,fd80ce93-ae6e-4c0b-9ea4-561f84152026,2017-06-07 01:18:00,
15,dec63120-f40f-4bd1-b53d-45b07709f0dc,2017-01-21 09:56:00,2017-01-21 10:19:00
16,d24cec40-b66a-47ad-afb1-aa19b00eab53,2017-05-16 08:21:00,2017-05-16 08:32:00
17,ff2f2aef-6ca8-45a1-9ae7-46ebdbd81c3c,2017-11-09 12:06:00,2017-11-09 12:14:00
18,ff2f2aef-6ca8-45a1-9ae7-46ebdbd81c3c,2017-11-09 12:06:00,2017-11-09 12:16:00
19,5560ba27-4e5f-4523-9b34-a80162a826e5,2017-04-22 14:35:00,2017-04-22 15:00:00
20,5c654a76-fb7e-4e4f-879b-a9543426a5dd,2017-07-19 18:20:00,2017-07-19 18:47:00
21,587456c0-fdc4-4aea-bd18-7fc854bc0f81,2017-06-03 03:19:00,2017-06-03 03:43:00
22,4b44ace4-2721-47a0-b24b-15fbfa2abf85,2017-05-11 03:54:00,2017-05-11 03:54:00
23,4b44ace4-2721-47a0-b24b-15fbfa2abf85,2017-05-11 03:54:00,2017-05-11 04:18:00
24,0182a7b9-2099-4476-8f7d-51f2c2f71dff,2017-09-08 16:34:00,2017-09-08 16:59:00
25,0182a7b9-2099-4476-8f7d-51f2c2f71dff,2017-09-08 16:34:00,2017-09-08 16:56:00
26,48a23075-694b-417d-8449-9df921ad95aa,2017-07-09 15:28:00,
27,13019e8b-8ec9-4adc-9660-8c6337575ab8,2017-07-20 12:31:00,2017-07-20 12:55:00
28,13019e8b-8ec9-4adc-9660-8c6337575ab8,2017-07-20 12:31:00,2017-07-20 12:31:00
29,5d7d121a-817c-4b84-b4d6-5388092b9aec,2017-06-10 14:54:00,
30,36490e24-bb36-4989-8343-2320fdf79105,2017-11-20 04:19:00,2017-11-20 04:41:00
31,aa06c7c7-77c8-48a1-9232-5212fa16025b,2017-07-14 02:07:00,2017-07-14 02:32:00
32,e743addf-738a-4aa0-8dc6-c849c6e50d79,2017-01-12 12:35:00,2017-01-12 12:47:00
33,e743addf-738a-4aa0-8dc6-c849c6e50d79,2017-01-12 12:35:00,2017-01-12 12:48:00
34,786ea464-dc47-4733-92f2-8196e6f0cc12,2017-05-26 08:22:00,2017-05-26 08:33:00
35,16663b8b-45fa-4725-ac8f-42f6acf1e433,2017-01-26 22:10:00,2017-01-26 22:29:00
36,cd34b8ac-2952-4d84-8619-9bebb47fc500,2017-04-24 10:19:00,2017-04-24 10:42:00
37,3c9c78a7-124a-4b77-8d2e-e1926e011e7d,2017-07-13 11:09:00,2017-07-13 11:38:00
38,ef56956b-8bf5-4e11-a330-9c869bc1c131,2017-09-13 23:01:00,
39,aaf56850-1f1b-491c-b075-c985c63d32d1,2017-07-08 03:56:00,2017-07-08 04:17:00
40,fffc2dfc-fdc1-407a-9c6d-e6507157d1a6,2017-07-03 19:40:00,2017-07-03 19:51:00
41,fffc2dfc-fdc1-407a-9c6d-e6507157d1a6,2017-07-03 19:40:00,2017-07-03 19:49:00
42,89d2234e-5097-47de-a582-7a1becb1a591,2017-04-25 10:40:00,2017-04-25 11:01:00
43,6f7934ec-bc34-4752-a2f1-96409b38072b,2017-01-05 18:52:00,2017-01-05 19:12:00
44,899e294f-ccbe-4825-86a8-200495a46280,2017-10-12 12:30:00,2017-10-12 13:01:00
45,899e294f-ccbe-4825-86a8-200495a46280,2017-10-12 12:30:00,2017-10-12 12:55:00
46,899e294f-ccbe-4825-86a8-200495a46280,2017-10-12 12:30:00,2017-10-12 12:55:00
47,afc06b49-1a62-48f1-a530-90631cae4cb2,2017-07-05 06:01:00,
48,30528091-767c-49c5-9020-d717f7bee246,2017-02-15 23:35:00,2017-02-16 00:04:00
49,30528091-767c-49c5-9020-d717f7bee246,2017-02-15 23:35:00,2017-02-15 23:47:00
50,3ccdaf69-2d30-40de-b083-51372881aedd,2017-01-08 20:38:00,2017-01-08 20:52:00
51,3ccdaf69-2d30-40de-b083-51372881aedd,2017-01-08 20:38:00,2017-01-08 20:52:00
52,8b921797-a9d0-4c05-ad66-82e867bf11d5,2017-10-09 22:53:00,
53,ad82c659-285f-44cf-961b-0693ba77cadd,2017-04-17 09:08:00,
54,bfe5c551-9113-4a69-a7de-5e8aae27d1ba,2017-10-20 18:01:00,2017-10-20 18:01:00
55,19e7a2c2-aca2-4577-b64b-f0897bed258c,2017-06-06 18:00:00,
56,ba65fa41-b88f-4ebc-8e66-7ade432f4f0d,2017-05-14 11:21:00,2017-05-14 11:32:00
57,a9c60d9a-7f1f-49fd-9b5f-a119905eb38f,2017-08-10 16:27:00,
58,332fe6d1-896b-4758-9ec3-205ee4530a27,2017-05-15 13:54:00,2017-05-15 14:15:00
59,332fe6d1-896b-4758-9ec3-205ee4530a27,2017-05-15 13:54:00,2017-05-15 14:18:00
60,c8b0000f-041b-419a-8e7e-b2b84b22f2fa,2017-05-15 17:08:00,
61,8107fe98-94c1-4c5c-b373-06105119c6d2,2017-04-13 23:02:00,
62,20da6a89-e211-4ea9-99bb-e2e62f03d213,2017-10-12 17:38:00,2017-10-12 17:47:00
63,20da6a89-e211-4ea9-99bb-e2e62f03d213,2017-10-12 17:38:00,2017-10-12 18:00:00
64,20da6a89-e211-4ea9-99bb-e2e62f03d213,2017-10-12 17:38:00,2017-10-12 17:45:00
65,10f0ce7a-64f2-41a8-b094-97cfdce59941,2017-11-16 05:09:00,
66,331ee92c-4756-4e09-933c-c10a7b03e228,2017-03-03 03:50:00,
67,fffc2dfc-fdc1-407a-9c6d-e6507157d1a6,2017-07-03 19:42:00,2017-07-03 19:51:00
68,fffc2dfc-fdc1-407a-9c6d-e6507157d1a6,2017-07-03 19:42:00,2017-07-03 19:49:00
69,bba7aa6f-3229-42d6-8b76-e502355ca6a2,2017-07-09 23:09:00,2017-07-09 23:15:00
70,4686af83-e275-49f7-a82b-c32f3521372a,2017-09-23 16:55:00,2017-09-23 17:16:00
71,3fdc4827-cca4-41c7-9437-25547a0f0b3b,2017-11-11 15:35:00,2017-11-11 15:49:00
72,3fdc4827-cca4-41c7-9437-25547a0f0b3b,2017-11-11 15:35:00,2017-11-11 16:02:00
73,a5be8985-4570-479a-a4fa-211dd82386cf,2017-09-15 20:37:00,2017-09-15 20:59:00
74,bba9bf5b-5817-4371-b328-c3764db7f1ae,2017-02-22 17:00:00,2017-02-22 17:25:00
75,2f2d0002-a47d-4040-a005-007b445530cb,2017-06-06 16:44:00,2017-06-06 17:03:00
76,5cda3654-faab-4432-ae28-0edca81de2f5,2017-08-23 08:55:00,2017-08-23 09:05:00
77,00065d4e-909c-48b5-a69e-27a1abbdbb87,2017-11-14 08:11:00,2017-11-14 08:38:00
78,4c62db67-4ba0-43da-878a-92a3e5122f2b,2017-08-23 22:40:00,2017-08-23 22:53:00
79,4c62db67-4ba0-43da-878a-92a3e5122f2b,2017-08-23 22:40:00,2017-08-23 22:42:00
80,865ea4ca-4a2a-47a8-87ff-d267e1e2e7c9,2017-01-07 09:36:00,
81,9502d7c7-3816-4c96-a15e-8f893fc615ee,2017-11-16 07:21:00,2017-11-16 07:31:00
82,e8992db7-9678-4ebd-890b-e8b427cbe12d,2017-02-07 23:41:00,
83,630ece1b-bbeb-4057-a932-0b972809d0b4,2017-03-01 08:20:00,
84,c0c43343-c337-4ba9-8df7-d2ec441d8823,2017-01-11 12:44:00,2017-01-11 13:15:00
85,c0c43343-c337-4ba9-8df7-d2ec441d8823,2017-01-11 12:44:00,2017-01-11 12:55:00
86,c0c43343-c337-4ba9-8df7-d2ec441d8823,2017-01-11 12:44:00,2017-01-11 13:04:00
87,dbdfeb12-cbb2-4c43-98a9-57fa126c19fc,2017-05-25 16:07:00,2017-05-25 16:14:00
88,dbdfeb12-cbb2-4c43-98a9-57fa126c19fc,2017-05-25 16:07:00,2017-05-25 16:34:00
89,899e294f-ccbe-4825-86a8-200495a46280,2017-10-12 12:30:00,2017-10-12 13:01:00
90,899e294f-ccbe-4825-86a8-200495a46280,2017-10-12 12:30:00,2017-10-12 12:55:00
91,899e294f-ccbe-4825-86a8-200495a46280,2017-10-12 12:30:00,2017-10-12 12:55:00
92,7954f8aa-b7fa-43c7-bc74-4180e47c8bba,2017-02-14 05:20:00,2017-02-14 05:39:00
93,9a24bdc7-19a1-48ff-a60a-ea94c7fc3058,2017-03-12 04:49:00,2017-03-12 05:06:00
94,d7d096d5-39d4-4992-aa6c-864d3288f2ec,2017-05-03 11:06:00,2017-05-03 11:07:00
95,d7d096d5-39d4-4992-aa6c-864d3288f2ec,2017-05-03 11:06:00,2017-05-03 11:07:00
96,95c28e4c-7628-4ca9-8ac4-bee0c133d488,2017-11-19 11:34:00,2017-11-19 11:45:00
97,f9c1bfba-8211-43e1-9883-3aebebeea8d0,2017-10-22 01:19:00,2017-10-22 01:38:00
98,2c58f9b1-61c3-4a6f-8537-829febd38453,2017-11-19 19:19:00,2017-11-19 19:31:00
99,2c58f9b1-61c3-4a6f-8537-829febd38453,2017-11-19 19:19:00,2017-11-19 19:24:00
100,0c230d3b-3da4-47f6-860f-71e2bc4030b9,2017-01-06 22:39:00,2017-01-06 23:08:00
101,36925936-56dd-4d33-b5c4-4e3e03aab408,2017-08-11 07:01:00,
102,3a1b33a6-6a1c-42eb-9b97-423efd110c5c,2017-11-13 05:31:00,2017-11-13 05:12:00
103,3a1b33a6-6a1c-42eb-9b97-423efd110c5c,2017-11-13 05:31:00,2017-11-13 05:24:00
104,3a1b33a6-6a1c-42eb-9b97-423efd110c5c,2017-11-13 05:31:00,2017-11-13 05:27:00
105,3a1b33a6-6a1c-42eb-9b97-423efd110c5c,2017-11-13 05:31:00,2017-11-13 05:08:00
106,acf9dc4e-eeb3-4c10-b0e1-b16f2d1a967d,2017-08-15 23:19:00,2017-08-15 23:38:00
107,acf9dc4e-eeb3-4c10-b0e1-b16f2d1a967d,2017-08-15 23:19:00,2017-08-15 23:31:00
108,4f2bdec2-bfa3-4ffb-a3bb-7ee19f4354ca,2017-10-05 22:28:00,2017-10-05 22:42:00
109,0d6942fa-3b9f-482d-8bd4-63a56ea28216,2017-07-13 11:45:00,
110,e0e23691-e6dd-4f7e-b975-3fd11896023f,2017-07-24 08:30:00,2017-07-24 08:38:00
111,e0e23691-e6dd-4f7e-b975-3fd11896023f,2017-07-24 08:30:00,2017-07-24 08:37:00
112,58545be1-0a55-4d26-b584-df26e258d0ed,2017-07-20 01:29:00,2017-07-20 01:35:00
113,f413cd55-d85f-4659-802e-33fb14b20c0f,2017-08-09 09:46:00,2017-08-09 09:55:00
114,f413cd55-d85f-4659-802e-33fb14b20c0f,2017-08-09 09:46:00,2017-08-09 10:06:00
115,f413cd55-d85f-4659-802e-33fb14b20c0f,2017-08-09 09:46:00,2017-08-09 10:02:00
116,d1a3e9b6-94fb-41d7-8e99-f2aa3928e5e8,2017-05-24 08:02:00,2017-05-24 08:05:00
117,d1a3e9b6-94fb-41d7-8e99-f2aa3928e5e8,2017-05-24 08:02:00,2017-05-24 08:03:00
118,451121e0-5de9-4025-91bf-e2aea9ea5f7e,2017-07-27 19:08:00,2017-07-27 19:35:00
119,7ee65388-0200-447f-acfd-93568e4fcc03,2017-05-18 06:35:00,2017-05-18 07:00:00
120,093485c6-f9c2-43d8-a735-5a86b55a31c8,2017-04-20 01:14:00,
121,12d106df-5f24-4a1c-82a6-f1f513dbedd5,2017-04-26 11:45:00,
122,3a6487df-d934-4d28-b531-1166621eb7db,2017-08-12 18:10:00,2017-08-12 18:17:00
123,3a6487df-d934-4d28-b531-1166621eb7db,2017-08-12 18:10:00,2017-08-12 18:27:00
124,1dbd5f67-f6e9-4893-a5b0-98aff93bd001,2017-03-06 03:32:00,
125,cdae23aa-72b5-42dc-9cbf-29bf9ad3a301,2017-03-13 23:15:00,2017-03-13 23:36:00
126,cdae23aa-72b5-42dc-9cbf-29bf9ad3a301,2017-03-13 23:15:00,2017-03-13 23:44:00
127,ed482857-ae69-41ac-8e61-2b97e82cff0c,2017-11-02 18:20:00,
128,3dd90ba1-a8ab-4b34-bbd2-42a98d9b84ae,2017-07-14 23:28:00,2017-07-14 23:32:00
129,e00574ae-1970-4ca0-870f-99ff3adfc17b,2017-02-07 00:15:00,2017-02-07 00:31:00
130,a6f71997-159c-4b5c-b82b-757a89fbaba2,2017-11-12 23:08:00,2017-11-12 23:19:00
131,a6f71997-159c-4b5c-b82b-757a89fbaba2,2017-11-12 23:08:00,2017-11-12 23:26:00
132,1868e912-b38c-4ef0-8824-5665c42288e5,2017-03-17 11:56:00,2017-03-17 11:58:00
133,1868e912-b38c-4ef0-8824-5665c42288e5,2017-03-17 11:56:00,2017-03-17 12:06:00
134,2be90e7c-9cca-44e0-bcc5-124b945ff168,2017-11-07 20:43:00,2017-11-07 21:14:00
135,2be90e7c-9cca-44e0-bcc5-124b945ff168,2017-11-07 20:43:00,2017-11-07 20:50:00
136,2be90e7c-9cca-44e0-bcc5-124b945ff168,2017-11-07 20:43:00,2017-11-07 21:11:00
137,65a177e5-c3ff-430c-96e1-417929c8148c,2017-01-05 12:30:00,2017-01-05 12:33:00
138,d33bdc47-4afa-45bc-b4e4-dbe948e34c0d,2017-06-25 09:23:00,2017-06-25 09:29:00
139,d33bdc47-4afa-45bc-b4e4-dbe948e34c0d,2017-06-25 09:23:00,2017-06-25 09:42:00
